Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.811004,2.391163439,3.566150753,2.636231795,5.038334235
0.821014,-1.063921499,-0.483771726,7.941464936,8.027006252
0.831024,-2.487165803,-3.053717145,11.48248611,12.13913792
0.841034,-1.42468111,0.74374595,-11.49315494,11.60497672
0.851044,-0.620250052,3.200531375,-8.797203777,9.381839132
0.861053,-0.583912676,2.569931094,-8.619400474,9.013299305
0.871063,0.287982314,-0.743377576,-2.768927338,2.881406364
0.881073,0.089662776,0.559304742,-3.795444052,3.837480523
0.891083,-0.47022095,2.530974897,-9.624488897,9.962817282
0.901102875,-0.967022392,0.757191842,-3.899975896,4.088799797
0.911112875,-5.1401832,-2.964858471,51.00179591,51.34583776
0.921122875,-0.487513688,2.443636937,13.18170335,13.41515316
0.931162875,-0.360647344,2.465912928,-14.16638148,14.3839201
0.941172875,-1.249266103,1.196347632,0.220651699,1.743731809
0.951182875,-1.053788494,1.862945711,-3.100500718,3.767511329
0.961191875,3.400831255,-2.234020249,-5.099318764,6.523768202
0.971201875,1.27023071,-0.581767552,3.01262993,3.320824994
0.981211875,-0.974137284,2.610335062,-6.091553253,6.698493384
0.991221875,-0.066290103,2.669357149,-10.35318061,10.69196945
1.001231875,-0.632847001,2.242920296,-7.693430725,8.038660529
1.011240875,-0.866852352,-0.760019044,5.885254129,5.997105811
1.021250875,1.740791967,-5.429591138,3.334335549,6.605195694
1.031260875,4.096520402,-3.134840538,1.449465703,5.358139176
1.041270875,-0.69391057,2.00401929,-7.200461914,7.506281168
1.051310875,-0.553357393,0.937151891,-7.848864335,7.923959201
1.061320875,-2.917587533,1.585287314,21.06480723,21.3249046
1.071329875,-1.211638831,2.064913217,8.304223856,8.642457353
1.081339875,1.760090118,2.743486102,-1.04415601,3.422702878
1.091349875,-0.728406584,1.606697771,-9.080914189,9.250678698
1.101359875,-0.735023367,1.812267162,-8.467003908,8.689920989
1.111368875,4.460091501,-4.605261201,14.29807014,15.66957742
1.121378875,3.415181784,-5.558792385,14.687483,16.07127239
1.131388875,-1.411998792,1.803245054,-11.99571377,12.21239461
1.141398875,-0.528091939,0.766258389,-9.394423766,9.44040417
1.151408875,-0.766596358,0.66737437,-9.809766696,9.862280728
1.161417875,-0.707971516,0.513681878,-10.02692819,10.06500779
1.171458875,-0.315893743,0.714992414,-6.800823435,6.845597301
1.181467875,0.923015735,3.04773749,24.02377667,24.23391235
1.191477875,0.157668562,0.942107771,16.18255523,16.21072239
1.201487875,4.350361482,-5.766340474,9.98827225,12.32647192
1.211497875,-0.468588042,0.583905586,-2.444640173,2.556713918
1.221506875,-0.730672015,1.472921224,-11.55011033,11.66655164
1.231516875,-0.498562331,1.00055917,-9.333173012,9.399883059
1.241526875,-0.626443934,1.17947783,-10.0218189,10.11041314
1.251536875,-0.566389521,1.044655947,-9.869952672,9.941230753
1.261545875,-0.53945487,0.843681006,-9.694564269,9.746147216
1.271555875,0.601627181,0.573749777,4.411218426,4.488874254
1.281565875,3.548024677,0.980861143,43.07365911,43.23066825
1.291605875,-0.779004661,0.146254359,4.016993884,4.09444483
1.301615875,-1.298569971,1.330630547,-12.60414112,12.74053511
1.311625875,1.032470569,0.268334208,-9.352612665,9.413254612
1.321635875,1.298009662,0.21870443,-8.664724581,8.76413788
1.331644875,-1.251329146,0.319345244,3.054766136,3.316534662
1.341654875,-0.897650075,0.267876006,-3.012520003,3.154807439
1.351664875,0.068577607,1.446788117,-5.478282073,5.666522144
1.361674875,0.092516985,1.851976334,8.85991458,9.051876165
1.371683875,-1.501947972,1.066531989,4.846192213,5.184488129
1.381693875,-0.852436846,-0.054805733,-4.15433387,4.241242995
1.391703875,0.381989901,-1.233318699,8.681279803,8.776765367
1.401743875,-1.806294816,-0.35769165,3.573987776,4.020451828
1.411753875,-1.168083214,0.661384702,-5.867172199,6.018767128
1.421763875,-0.205413855,-0.048059216,3.007241721,3.014632201
1.431773875,0.617289022,0.35386377,-4.056671335,4.118597774
1.441782875,0.062385917,1.036182162,-5.883543819,5.974416569
1.451792875,-0.398730845,0.665575548,-4.028111195,4.102152715
1.461802875,-0.652036466,0.605555926,-6.009849524,6.075371662
1.471812875,-1.401244739,0.758809986,5.95466935,6.164200393
1.481821875,-0.07295465,1.936377384,8.231712534,8.456711595
1.491831875,-0.800962856,0.090791179,4.82786587,4.894698499
1.501841875,-0.249013692,-0.133257972,-2.349871425,2.366782884
1.511851875,0.146262764,-0.042143734,-0.767486231,0.782434665
1.521891875,-1.546015805,-0.502012919,2.598613733,3.065122375
1.531901875,-1.177665631,0.018294841,0.385431499,1.239269333
1.541910875,0.407671932,0.643645346,-6.868931803,6.911056348
1.551920875,0.294297746,0.879621867,-3.097253174,3.233159912
1.561930875,-0.030563542,0.836292245,-2.91013818,3.028072502
1.571940875,-0.399715114,0.60112761,-3.692786826,3.76268536
1.581950875,-1.375429136,0.891481847,2.867373984,3.302783486
1.591959875,-0.21868455,1.35764366,6.084687452,6.238144005
1.601969875,-0.931555594,0.298256823,3.465897902,3.601277721
1.611979875,-0.11996228,0.079956362,0.608537275,0.62538115
1.621989875,-0.40230554,0.12870416,-1.227422367,1.298067862
1.631998875,-0.292471989,-0.154511066,1.170003878,1.215862907
1.642039875,0.382803066,-0.941438631,3.181792218,3.340156673
1.652048875,0.097686252,0.204766861,-5.04361234,5.04871246
1.662058875,0.168907349,0.57128174,-2.715225924,2.779810126
1.672068875,0.202529643,0.256565444,-0.202444639,0.38448396
1.682078875,-0.310362203,1.022736051,-6.705876347,6.790514805
1.692087875,-0.428259686,0.975198261,-1.028941555,1.480924958
1.702097875,-1.046379999,1.12009972,1.292500123,2.005016472
1.712107875,-0.499426805,1.34101871,0.36296942,1.476314707
1.722117875,-0.02282837,1.721407424,3.888437585,4.252494739
1.732127875,-0.545352043,0.313433636,7.635035752,7.660902064
1.742136875,-0.791981752,-0.022659496,-1.415923151,1.622524859
1.752146875,-0.31145344,0.188236124,-3.139593447,3.160614355
1.762186875,-0.338627754,-0.929021264,4.029265435,4.14882263
1.772196875,-0.210181967,-0.856326121,1.21474268,1.501023205
1.782206875,-0.102028468,0.536356833,-6.442615988,6.465708718
1.792216875,0.795986291,0.480934949,-0.400268809,1.012476034
1.802225875,0.663860998,0.605164089,-0.780236084,1.189833327
1.812235875,-0.197776551,1.007994782,-7.145175321,7.218635564
1.822245875,-0.933832719,0.724109758,0.641947095,1.34479536
1.832255875,-1.015135109,1.247340614,-0.26476134,1.629863941
1.842264875,-1.125624754,1.389463184,2.940439621,3.441485754
1.852274875,-1.051970522,1.339560853,1.951917529,2.590568914
1.862284875,-1.035834545,0.4102196,1.156750579,1.606021553
1.872294875,-1.525686498,-0.107800583,3.817896776,4.112867132
1.882334875,-1.078577399,-0.210839194,1.949346508,2.237796725
1.892344875,0.145650122,0.586386414,-3.016947514,3.076854772
1.902348292,1.20000755,-0.369080418,0.532614103,1.363787468
1.912357292,1.148843682,-0.84325774,1.630382649,2.165426749
1.922367292,-0.515503615,0.213976006,-2.694725001,2.751921609
1.932377292,0.140051303,-0.0693232,-0.37496089,0.406221297
1.942387292,0.863447153,0.374584914,-1.216026728,1.53771774
1.952396292,0.250419472,0.883416637,-4.51342834,4.605884307
1.962406292,-0.362698877,0.866969661,-2.503253247,2.673848105
1.972416292,-1.231302141,1.038115398,-0.56861424,1.707955121
1.982426292,-1.399371145,1.062788163,-0.685025872,1.886006025
1.992435292,-0.07202761,1.765826967,2.496490358,3.058724728
2.002476292,0.05358805,1.771035813,2.45340281,3.026322005
2.012486292,-1.019290287,1.024916916,-0.130779995,1.451382369
2.022495292,-1.438561816,0.26025606,2.474901268,2.87442683
2.032505292,-1.349533572,-0.29535273,3.932072432,4.167693332
2.042515292,-0.491033968,0.235337566,-1.464159756,1.562133771
2.052525292,0.439146763,0.369747074,-1.876753326,1.962591609
2.062534292,1.084944213,-1.209675994,2.778995073,3.21919766
2.072544292,-0.139329245,-0.65794632,-0.283757774,0.729948267
2.082554292,-0.614302118,0.187028747,-3.972883074,4.024443659
2.092564292,0.892335248,-0.288972029,2.394465215,2.571620247
2.102573292,0.429582362,0.669371048,-2.38584408,2.514925562
2.112614292,-0.01772408,0.645248287,-2.645265158,2.722882159
2.122623292,-0.613797576,0.740293827,0.350468658,1.023528551
2.132633292,-0.717681694,1.024587499,-4.618294644,4.784714409
2.142643292,-1.272458937,0.999994475,1.871843419,2.47445721
2.152653292,-0.970575891,1.092866752,-1.332861114,1.978103649
2.162663292,-0.192396638,1.50829951,-0.765441459,1.702317393
2.172672292,0.161772248,1.901737894,3.330948257,3.839009452
2.182682292,-0.606924393,1.402006778,0.537732171,1.619609864
2.192692292,-1.423937052,0.688801858,-0.204370127,1.594933189
2.202702292,-1.347601944,0.150502726,4.349533224,4.555998391
2.212711292,-0.652651666,-0.204360699,2.37693994,2.473370367
2.222721292,-0.509391447,0.358950117,-3.686150821,3.738453251
2.232761292,0.412022516,0.486848238,-1.076734942,1.25145591
2.242771292,-0.310760508,-1.01655284,3.722221125,3.871031112
2.252781292,-0.004599054,-0.648973768,-1.48887886,1.624176211
2.262791292,0.153551099,0.005216009,-2.370364162,2.375338167
2.272800292,0.543669287,-0.609701528,2.823083664,2.938896668
2.282810292,0.391579042,0.050470973,-1.320884262,1.378628557
2.292820292,-0.030505545,0.36523814,-2.941927738,2.964670015
2.302830292,-0.797724229,0.022877085,2.434803402,2.562255825
2.312840292,-0.507034946,0.790716195,-3.904969418,4.016354403
2.322849292,-1.171445217,0.649400176,-0.445804585,1.411646632
2.332859292,-1.202690179,0.778705137,0.181561893,1.444233388
2.342869292,-0.000360956,1.167059952,-3.058661551,3.273750073
2.352909292,-0.011669106,1.253433998,1.529095425,1.977211616
2.362919292,0.092427449,1.687079006,-1.649574965,2.36132928
2.372929292,0.076266038,1.679754784,1.105623111,2.012410272
2.382938292,-0.731578845,1.182804676,1.983414726,2.422430284
2.392948292,-1.225180106,1.066737372,-1.351738849,2.113336894
2.402958292,-0.780675503,1.233411377,-0.689766794,1.614477035
2.412968292,-0.923889894,0.792518015,3.831063536,4.019789193
2.422977292,-1.414851064,0.229777449,1.281040165,1.922411276
2.432987292,-0.69596689,0.269603712,-0.145275242,0.760368969
2.442997292,-0.332855163,0.23880957,-0.34200072,0.533654441
2.453007292,0.290598286,0.287373327,0.389842638,0.564807999
2.463017292,0.113063224,-0.386411785,-0.280144195,0.490487645
2.473057292,0.567319521,-0.500837556,-0.899427482,1.175440127
2.483067292,0.172351907,-0.20825319,-0.394653727,0.478357749
2.493076292,-0.872735382,-0.574802714,1.637243187,1.942326043
2.503086292,0.186425278,-0.654810312,0.09566688,0.687519513
2.513096292,0.563118954,0.01797361,-2.002254454,2.080011757
2.523106292,-0.209078598,-0.237615495,0.361795299,0.480698265
2.533115292,-0.49029064,0.06857768,-0.173282821,0.524513819
2.543125292,-0.48501404,0.312266386,-1.255389014,1.381575366
2.553135292,-0.538522714,0.27661657,0.458760846,0.759595257
2.563145292,-0.604239133,0.377247443,-0.925024254,1.167514639
2.573154292,-0.67176658,0.491647121,-0.526168717,0.984804929
2.583164292,-0.825216814,0.638906251,-0.878608471,1.364234889
2.593205292,-0.445503783,0.84962872,0.061657135,0.961324183
2.603214292,-0.19785516,1.039670392,-0.858216891,1.362570152
2.613224292,-0.302722743,1.180342487,-0.742388227,1.426881118
2.623234292,-0.244541595,1.376205354,0.017225897,1.397869271
2.633244292,-0.37512008,1.509838497,-0.378113124,1.601029949
2.643253292,0.182709884,1.828092213,-0.625096589,1.940631285
2.653263292,-0.287854955,1.384232996,0.675250497,1.566819931
2.663273292,-0.904631139,1.157914102,0.658778306,1.610314076
2.673283292,-1.340137973,1.119816788,-1.066892908,2.046514086
2.683292292,-1.077469498,1.210074994,-0.097212299,1.623167348
2.693302292,-0.253431446,1.597098689,0.837959213,1.821298263
