Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.922395458,-0.026835413,-0.085771281,-0.092562009,0.129013865
1.932405458,-0.076754171,0.209006604,-0.177608591,0.284815334
1.942415458,-0.043155138,0.294779228,0.149078271,0.333138845
1.952425458,0.031509531,0.22483741,-0.263939806,0.348150733
1.962434458,0.117222056,0.144528681,-0.205931334,0.277555876
1.972444458,-0.022762297,-0.064354867,-0.051624482,0.085584801
1.982454458,-0.003060085,-0.048961761,-0.302101659,0.306058868
1.992464458,-0.016435701,-0.220899073,0.087366757,0.238116532
2.002473458,-0.020139072,-0.173713669,-0.015833091,0.175592448
2.012514458,0.14662805,0.242358683,-0.680237002,0.736858125
2.022523458,0.22947692,0.267465202,-0.166867256,0.389925598
2.032533458,0.145658052,-0.104432368,0.553865224,0.582141798
2.042543458,0.02722608,-0.048656088,-0.677651948,0.67994179
2.052553458,-0.053989023,0.035653142,-0.500557328,0.504721309
2.062563458,0.027450594,-0.075774355,0.446282887,0.453501603
2.072572458,0.171048727,0.085334439,-0.658176627,0.685372969
2.082582458,-0.010970784,0.041734904,-0.154484022,0.16039786
2.092592458,-0.356812923,0.120176069,0.216839315,0.434484796
2.102602458,-0.0310731,0.155722901,-0.62201803,0.641966969
2.112611458,0.055211173,-0.057943354,0.066280528,0.103917344
2.122652458,0.072249467,-0.040640917,-0.447923616,0.455529621
2.132661458,-0.04677344,0.04639264,-0.221275012,0.230873695
2.142671458,-0.218986632,0.191420884,-0.033332053,0.292759501
2.152681458,-0.094514988,0.216777078,-0.309621763,0.389603672
2.162691458,-0.016253071,0.173964478,-0.132476857,0.219266777
2.172700458,-0.049460976,0.094663936,-0.28389343,0.303320175
2.182710458,-0.030101229,-0.026232332,-0.10402489,0.1114244
2.192720458,0.052468852,0.015450806,-0.315437404,0.320144442
2.202730458,0.094291231,0.109986446,-0.274028007,0.309966455
2.212740458,-0.008489298,0.11531505,-0.101213549,0.153667861
2.222749458,-0.066787601,0.184899064,-0.752786915,0.778033667
2.232759458,-0.357710361,-0.192815189,0.588708782,0.715340778
2.242799458,0.304071458,0.327028851,-0.38300432,0.588302329
2.252809458,0.162872822,0.636335303,-0.938157685,1.145246705
2.262819458,0.233270941,0.315504574,-1.441556175,1.494002233
2.272829458,-0.565434159,0.031992113,-0.808351251,0.987001028
2.282838458,-0.732483409,-0.15066178,2.154056359,2.280173176
2.292848458,0.540406322,0.264925537,-0.672454943,0.902452316
2.302858458,0.028152194,0.205806679,0.509561455,0.550274306
2.312868458,-0.149812115,0.264675587,-0.000291191,0.304133065
2.322877458,0.023664568,0.353889754,-1.832540774,1.866548595
2.332887458,-0.299647747,0.363318937,0.246461894,0.531538228
2.342897458,-0.176719375,0.567458465,0.260890483,0.64907834
2.352907458,-0.002623936,0.522742249,-0.017922885,0.523055995
2.362947458,0.106877253,0.407496113,0.000876498,0.421279715
2.372957458,0.036373884,0.15269218,-0.510264875,0.533861596
2.382967458,0.019229364,-0.111975331,-0.021500797,0.115630997
2.392976458,-0.051661183,0.074544892,-0.035947512,0.097560455
2.402986458,0.050920715,-0.06468099,0.687954158,0.692861799
