Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.25154675,-0.074496104,-0.078074216,-0.145661743,0.181280435
1.26155675,-0.007604066,-0.007679587,-0.144494054,0.144897652
1.27159675,0.011195646,-0.006158141,-0.153993441,0.154522636
1.28160675,0.024957798,-0.013644405,-0.16631177,0.168726602
1.29161675,0.007480124,-0.042657923,-0.165989588,0.171546478
1.30162675,0.030430792,-0.057613931,-0.163103988,0.175636867
1.311674292,-0.018289031,-0.040141282,-0.158289975,0.164321415
1.321684292,-0.026385689,-0.009120706,-0.157430434,0.159886627
1.331694292,0.007764116,0.039186724,-0.155650542,0.160695277
1.341704292,0.012933657,0.08647418,-0.162047396,0.184131534
1.351714292,0.013385364,0.128372038,-0.166760252,0.210873255
1.361723292,0.04945332,0.229668837,-0.184360371,0.298633809
1.371733292,-0.020547573,0.335770585,-0.183743489,0.383308959
1.381773292,0.020317421,0.301230789,-0.17089014,0.346923949
1.391783292,-0.020933434,0.162098924,-0.137097327,0.213330605
1.401793292,0.059130224,0.33043215,-0.176458443,0.379235245
1.411803292,0.099085208,0.740495045,-0.219985701,0.778809668
1.421812292,-0.108687707,0.774258476,-0.262044139,0.824594649
1.431822292,0.073138837,0.738760541,-0.309320047,0.80423586
1.441832292,-0.125799674,0.709573945,-0.23621114,0.758364322
1.451842292,-0.221287328,0.973861222,-0.311695186,1.046196755
1.461851292,-0.139345855,1.086185212,-0.381266527,1.159560152
1.471861292,0.456337394,1.003120251,-0.116062553,1.108135628
1.481871292,-0.027835359,0.823221452,-0.199367834,0.847476194
1.491911292,0.726603084,1.505860198,-0.155144758,1.679177439
1.501921292,0.324885664,1.523456663,-0.517422452,1.641400893
1.511931292,-1.118250392,1.878240565,-0.64848896,2.280089799
1.521941292,-0.438240919,2.152280852,-0.21986174,2.207420928
1.531950292,0.869588045,2.43294618,-0.289148907,2.599811065
1.541960292,0.530928607,2.760429871,-0.383536416,2.837068636
1.551970292,0.063917988,3.139128886,-0.600794976,3.196743699
1.561980292,0.031808305,3.338392932,-0.27708844,3.350023454
1.571989292,0.360811651,3.566420894,-0.717507155,3.655729689
1.581999292,0.000789794,3.760267203,-0.784537881,3.841238049
1.592039292,-0.335627913,3.593750196,-0.450458384,3.63738908
1.602049292,0.53893191,3.725648178,-0.517000283,3.799761998
1.612059292,-0.464477961,3.861560274,-1.035984526,4.025003287
1.622069292,-0.045059055,3.80254725,0.068831084,3.80343708
1.632079292,0.206333038,4.035740642,-0.45751188,4.066828368
1.642088292,-0.09717199,4.319162786,-0.478182372,4.346638695
1.652098292,0.366406377,3.969216869,-1.269587224,4.183394305
1.662108292,-0.432222892,3.92560278,-0.634736894,4.000008093
1.672118292,0.167208185,4.737403889,-0.640092359,4.783374584
1.682127292,0.28213667,4.679415005,0.10313319,4.689047061
1.692137292,-0.037170521,4.984261347,-1.32060535,5.156378701
1.702177292,-1.952641561,3.948587893,-0.610651628,4.447139622
1.712187292,0.9321849,3.858141114,0.436895183,3.993131471
1.722197292,0.908336812,4.806923482,-1.48542491,5.11254108
1.732207292,1.992471624,5.260306644,-0.587165117,5.655575305
1.742216292,-0.94436063,4.740994372,-0.933112707,4.923367136
1.752226292,-0.003705335,4.004833722,0.174367479,4.008629552
1.762236292,0.47925329,3.827570117,-0.767778007,3.933123413
1.772246292,-1.230513643,2.998229408,-0.642054684,3.303903392
1.782256292,-1.272928469,2.259110651,0.847133494,2.727922832
1.792265292,-0.393604993,1.319390006,1.370310776,1.942541248
1.802275292,1.429933079,-0.24727378,4.550662825,4.776440628
1.812315292,0.232491379,-1.172469942,-4.723712341,4.872596463
1.822325292,-0.524761292,-1.071960544,-4.79950512,4.945677225
1.832335292,-0.130007669,-0.641570242,-1.692071359,1.814282187
1.842345292,-1.561148107,0.148463729,11.41091385,11.51816738
1.852354292,-0.434417644,-1.033643009,-6.356597013,6.454724018
1.862364292,0.236249293,-0.733523702,-4.96404226,5.02350339
1.872374292,0.708665873,-0.835212045,1.632823861,1.966189269
1.882384292,0.079413101,-0.267359989,2.472591618,2.488271913
1.892393292,-0.682342146,-0.5331883,1.948595141,2.132346968
1.902403292,-0.61758606,-0.324691792,-0.483662968,0.848980075
1.912444292,0.385497097,-0.891980469,-0.14886017,0.983054688
1.922453292,0.147732443,-1.203715269,-2.928435287,3.169619623
1.932463292,0.796039573,-0.891114496,-1.580718153,1.981523133
1.942473292,-0.412225816,0.005809501,1.931641724,1.975146482
1.952483292,-1.045033677,-0.252780249,3.319355568,3.489142391
1.962492292,-0.617801165,-0.453617781,-0.3785733,0.854848006
1.972502292,-0.28343424,-0.936334669,-2.804211191,2.969959256
1.982512292,0.192408862,-0.663022799,-0.46563951,0.832730783
1.992522292,0.456699044,-0.476183648,0.56825756,0.870770658
2.002531292,0.260827772,-0.531116046,-0.001538402,0.591707485
2.012541292,-0.434983326,-0.383566237,-0.813747647,0.999259118
2.022581292,-0.501247811,-0.38683008,1.395643253,1.532549173
2.032591292,-0.28602728,-0.89115623,0.277267365,0.976139449
2.042601292,-0.47261776,-1.049546997,-1.434420233,1.839151394
2.052611292,0.203027881,-0.062599414,-0.287069637,0.357138605
2.062621292,-0.045803725,-1.095690372,1.163902894,1.59915769
2.072630292,0.95735921,-0.970438554,-0.544055935,1.467748107
2.082640292,0.872493892,-1.330195806,0.315252047,1.621742991
2.092650292,0.883786181,-0.160750483,-1.910081286,2.110765086
2.102660292,-0.060281577,-1.010374306,-0.344007484,1.069032861
2.112669292,0.967983309,-0.367551006,-2.720303646,2.910693621
2.122679292,0.703211736,-0.198366352,2.810841933,2.904253489
2.132719292,-0.522347306,-0.430224387,2.633383616,2.718942626
2.142729292,0.076865441,-0.897709278,-2.416523252,2.579025954
2.152739292,-0.566248311,-0.53097162,-1.122527411,1.364784158
2.162749292,-0.285593526,-0.472835532,1.551427111,1.646834291
2.172758292,-0.189364016,-0.745721578,1.155971146,1.388606745
2.182768292,-0.099624276,-0.634133096,-2.045789899,2.144132946
2.192778292,0.092006962,-2.249441111,5.072149091,5.549337528
2.202788292,0.64280649,-9.05995309,6.269518524,11.03643116
2.212798292,-0.137352868,-3.343575612,-7.046116471,7.800392362
2.222807292,-1.291978844,-8.322784672,0.225976759,8.425498177
2.232848292,-0.72760515,-5.05662298,-5.066473199,7.194997977
2.242857292,-0.023392901,-2.660926341,1.82831733,3.228594196
2.252867292,0.419648089,-2.018856746,1.790447254,2.730858555
2.262877292,0.948347189,-4.914012898,6.693307757,8.357466954
2.272887292,0.485814524,-0.981882067,-10.9060559,10.96093807
2.282896292,0.381929528,-0.941522465,-5.087609714,5.188073566
2.292906292,-0.806145024,0.660373645,13.09775254,13.13914322
2.302916292,-1.684162707,-2.379132208,-0.664927238,2.989782988
2.3129245,-2.233947305,-3.77886398,0.617851889,4.433066038
2.3229335,-0.020512398,-0.088008197,-6.368006101,6.368647258
2.3329435,0.19729527,-0.828074568,-1.389640501,1.62964218
2.3429845,0.872809787,-1.435774886,1.271151938,2.106910938
2.3529935,0.041637922,-0.731035419,2.675380073,2.773770906
2.3630035,-0.6524791,-0.389530105,0.427753646,0.872029736
2.3730135,-2.273777076,-1.162379255,0.396241831,2.584220446
2.3830235,-0.569627343,-1.69372042,-1.613813978,2.407812228
2.3930325,0.252363836,-2.967572456,0.003089669,2.978285301
2.4030425,0.803040226,-0.639752489,1.029549081,1.454004182
2.4130525,0.177959168,-0.431847281,0.214522648,0.513985901
2.4230625,-0.076646911,-1.182339384,-0.66455477,1.358467596
2.4330715,-0.431890551,-1.812957864,-0.173582783,1.871757636
2.4431125,-0.201151747,-1.676954698,0.358536061,1.726611477
2.4531215,1.057099334,-2.206598708,5.074215497,5.633311617
2.4631315,0.299451683,-1.556344619,-6.988141912,7.165612833
2.4731415,-0.198260006,-2.104857302,-2.046313224,2.942299968
2.4831515,-0.249958182,-0.996577509,7.849759544,7.916714642
2.4931615,-0.832762646,-0.388902845,-3.135679321,3.267602156
2.5031705,-0.099354262,-2.710339406,-1.385220591,3.04543052
2.5131805,0.254475174,-1.409674962,-1.261612791,1.908823708
2.5231905,0.306438758,-1.412339392,2.267451997,2.688855859
2.5332005,-0.592021704,-0.322396614,0.656979702,0.941303141
2.5432095,-0.925073078,-2.091325821,0.677683523,2.385090952
2.5532505,0.24175008,-2.290463275,-2.229629282,3.205606316
2.5632595,0.394283526,-1.210932488,1.544974709,2.002189761
2.5732695,1.173917639,-2.754132712,0.13814047,2.997067302
2.5832795,-0.626045446,-0.598095025,-2.682055255,2.818345427
2.5932895,-1.443732216,-1.613675692,2.774651762,3.51951763
2.6032985,0.206824898,-1.409480542,-1.051922867,1.770862404
2.6133085,0.65171867,-1.595826043,-0.474129667,1.787791074
2.6233185,0.137598488,-0.958917639,0.930340542,1.343126914
2.6333285,0.051604054,-1.57986022,0.08393912,1.582929901
2.6433385,-1.453433478,-1.22445929,-0.310960191,1.925737694
2.6533475,-0.110434334,-2.337774998,0.54430795,2.402843904
2.6633885,0.104020797,-1.700732254,-0.538001727,1.786828583
2.6733975,0.350425315,-0.842858302,1.082483924,1.415972975
2.6834075,0.205414732,-1.628121823,-0.756012824,1.806801393
2.6934175,0.205684289,-1.26947715,-0.316029727,1.324293415
